ds,yhat,yhat_lower,yhat_upper
2025-03-01,0.0,-1.3142837836508952e-09,1.203975053611368e-09
2025-03-02,0.0,-1.2667171230781338e-09,1.3960592311492528e-09
2025-03-03,0.0,-1.2451668128604152e-09,1.3106026046922668e-09
2025-03-04,0.0,-1.1387833169188184e-09,1.2484624309310785e-09
2025-03-05,0.0,-1.253104068507498e-09,1.2969227236403131e-09
2025-03-06,0.0,-1.2913225639710326e-09,1.2463364361528025e-09
2025-03-07,0.0,-1.2663493265199128e-09,1.3380767680437775e-09
2025-03-08,0.0,-1.2443178029388391e-09,1.4204913068466839e-09
2025-03-09,0.0,-1.277293377617337e-09,1.3674130733996542e-09
2025-03-10,0.0,-1.2664315241185444e-09,1.2921270126513305e-09
2025-03-11,0.0,-1.3323841361512952e-09,1.2842412367112238e-09
2025-03-12,0.0,-1.3654443659481178e-09,1.2974628869864105e-09
2025-03-13,0.0,-1.3106356790968748e-09,1.3328769981011624e-09
2025-03-14,0.0,-1.386397155856819e-09,1.3564274697066048e-09
2025-03-15,0.0,-1.3355917426235132e-09,1.2626687811403124e-09
2025-03-16,0.0,-1.431929546040906e-09,1.3584914012587995e-09
2025-03-17,0.0,-1.4479958970483556e-09,1.3683217142843853e-09
2025-03-18,0.0,-1.3943260213100938e-09,1.393840245572633e-09
2025-03-19,0.0,-1.3173608134963615e-09,1.516988813007854e-09
2025-03-20,0.0,-1.4316670119005138e-09,1.5358829037301012e-09
2025-03-21,0.0,-1.4681099991369702e-09,1.482990792525353e-09
2025-03-22,0.0,-1.5351760793752323e-09,1.5320570104682708e-09
2025-03-23,0.0,-1.4357938702959873e-09,1.4917890920996495e-09
2025-03-24,0.0,-1.4938067757108214e-09,1.7035578904469575e-09
2025-03-25,0.0,-1.4140138156968377e-09,1.6900023697440064e-09
2025-03-26,0.0,-1.5949579825280562e-09,1.6327697790342766e-09
2025-03-27,0.0,-1.567658035792716e-09,1.5976692339830014e-09
2025-03-28,0.0,-1.6480156009248805e-09,1.5854141363389135e-09
2025-03-29,0.0,-1.7025374497809148e-09,1.7052602988283647e-09
2025-03-30,0.0,-1.732783668591932e-09,1.830210047171664e-09
2025-03-31,0.0,-1.7076179087107862e-09,1.8066697724018495e-09
2025-04-01,0.0,-1.6898335865665805e-09,1.8571945755780564e-09
2025-04-02,0.0,-1.686749997382497e-09,1.8499717618602491e-09
2025-04-03,0.0,-1.7620910023982896e-09,1.8488728868134177e-09
2025-04-04,0.0,-1.782120036059352e-09,1.9375143952846445e-09
2025-04-05,0.0,-1.8577110264087702e-09,1.9733310297800263e-09
2025-04-06,0.0,-1.8974981545442428e-09,1.9777425332598863e-09
2025-04-07,0.0,-2.0951115955655905e-09,2.1801569857600633e-09
2025-04-08,0.0,-1.9171902304587627e-09,2.3208630294074076e-09
2025-04-09,0.0,-1.9490432686498655e-09,2.142767481592202e-09
2025-04-10,0.0,-1.9315035117172554e-09,2.2372456950890057e-09
2025-04-11,0.0,-2.1774606022985056e-09,2.403651001236157e-09
2025-04-12,0.0,-2.299710431169726e-09,2.402263765203938e-09
2025-04-13,0.0,-2.3940687653424895e-09,2.5948347700481975e-09
2025-04-14,0.0,-2.337764551079853e-09,2.507781463125643e-09
2025-04-15,0.0,-2.3721810939227958e-09,2.5884581088150286e-09
