ds,yhat,yhat_lower,yhat_upper
2025-03-01,439.47108598792516,349.9046428408481,532.5583948904947
2025-03-02,285.9892649836577,196.14081031553917,372.4812841116995
2025-03-03,267.4170307930514,178.49999945487676,361.049132708901
2025-03-04,240.5934820045266,150.62857564529165,331.35185150316534
2025-03-05,253.0874065101502,162.33178534384817,345.6500878743386
2025-03-06,262.993533751883,176.8359650360578,353.1698731987027
2025-03-07,330.57977310134544,238.44633291709692,420.04835840529233
2025-03-08,413.3375286588735,327.6030206544061,501.6657959815413
2025-03-09,258.66867569380474,173.34146690288904,349.4496652773681
2025-03-10,239.51240193619154,149.2668226032181,328.13166557432936
2025-03-11,212.72469285880663,123.23566018123292,306.62037456250766
2025-03-12,225.87383901055043,134.90012375199962,315.1817405779661
2025-03-13,237.03621845436302,149.17437494163303,333.7352395117772
2025-03-14,306.44366118394817,221.43106806111334,396.2596270030251
2025-03-15,391.5344906332571,307.73998554029595,483.8058681170854
2025-03-16,239.64181229926533,149.36323552777108,328.8181701461361
2025-03-17,223.6222178161072,134.0766713888563,313.4208934275618
2025-03-18,200.23763010517976,113.65681036284548,293.2870803982367
2025-03-19,216.9535971265165,124.57885722017559,310.1054833944047
2025-03-20,231.7382018821769,138.58938662787145,317.2624126273241
2025-03-21,304.71279793825954,211.4601657606546,393.008499860941
2025-03-22,393.2065588171022,305.72808704248473,483.14767470687156
2025-03-23,244.44829872823314,149.7171412442533,339.4170414327675
2025-03-24,231.19861818951998,139.9294276671811,319.5491318566725
2025-03-25,210.13498681469858,123.75092534298656,297.13796404831714
2025-03-26,228.65296250754085,134.28455946499037,319.1083646774493
2025-03-27,244.66761499014913,149.52092948806293,334.49447278260806
2025-03-28,318.26627503791605,228.96979059387965,411.7939644816434
2025-03-29,406.7645246094523,315.2638709057945,497.5259815929738
2025-03-30,257.3988293695493,165.9995246879155,347.9739207873007
2025-03-31,242.95883035005141,154.641882056605,333.0083722123261
2025-04-01,220.17189072488094,127.96284262986781,307.19218003488095
2025-04-02,236.50310190974872,139.0820683239135,324.42017857411435
2025-04-03,249.95484322301377,163.4535814145578,340.49993861680656
2025-04-04,320.717063569485,233.81538504809882,409.9696189628578
2025-04-05,406.2202669693362,320.71061624086093,502.53522001104676
2025-04-06,253.82468778140048,169.35539742350588,346.9837892446875
2025-04-07,236.44877202403333,151.44097759648105,319.1009351030858
2025-04-08,210.94967287137396,124.08167126842042,303.2557192098864
2025-04-09,224.91908572846182,135.88946669636448,313.75697254485704
2025-04-10,236.4786438693365,144.46907277934778,319.7914653578549
2025-04-11,305.9261715180405,215.76500317251126,390.3910465286221
2025-04-12,390.78490243646985,298.1205517575268,476.93069033753704
2025-04-13,238.48927003655336,153.45331336882458,332.87371729035516
2025-04-14,222.0104958082376,132.55106996643244,309.6940576280209
2025-04-15,198.2347812649611,109.11170110991971,291.91770318133945
2025-04-16,214.75750960365176,126.52831244522791,310.58920542737724
2025-04-17,229.67773986754958,144.09998215212732,319.4506325663679
2025-04-18,92.7011752368607,3.692194930378277,182.8701251407017
2025-04-19,353.6184957155077,262.58202748805803,438.8357901032658
2025-04-20,245.99767608122576,153.47474960612672,338.82649156909935
2025-04-21,235.37005926404515,145.0225966049097,323.789813627954
2025-04-22,217.76895882405225,131.19624178686206,308.55912066997007
2025-04-23,240.63391956279943,147.2530707477438,332.5312743985829
2025-04-24,261.89662215657495,171.6960484193683,358.63591330623456
