ds,yhat,yhat_lower,yhat_upper
2025-03-01,376.709456680016,292.1743377959879,457.95909806544745
2025-03-02,287.5035750028341,208.5639828504039,361.26764098731053
2025-03-03,233.93394688286162,154.81081828097425,313.83507122032313
2025-03-04,224.43087586279225,145.40652787040037,302.22461792410326
2025-03-05,253.9790863013887,176.72192128332568,328.17881185439575
2025-03-06,252.4316584516671,173.1429003396842,337.33062477767857
2025-03-07,308.04090806879674,230.42471904197095,384.2819869935649
2025-03-08,404.79969533702416,328.10172024744463,482.663917427531
2025-03-09,311.8870536932389,235.31526417841667,391.7890854585445
2025-03-10,254.37368612889145,174.1331668432103,327.4647538638766
2025-03-11,240.7988100056675,161.96004232369043,321.2480583188678
2025-03-12,266.2562981602057,190.59720259241274,342.4465925503742
2025-03-13,260.70522919506095,186.5032448010744,337.17129565877116
2025-03-14,312.4975850132877,235.85026246811705,392.0054591746947
2025-03-15,405.7166755373824,328.9826399314492,484.35449112991256
2025-03-16,309.6202648711259,229.4807996123306,394.3246614114761
2025-03-17,249.34401628520175,165.44915555860936,326.95638734707416
2025-03-18,233.47679106987212,152.58706055840844,303.62495554803047
2025-03-19,257.1457858247196,180.18767575363145,336.8648747640704
2025-03-20,250.32663981527932,171.1800724893322,332.91154634628475
2025-03-21,301.3712508394232,227.7244365303457,381.8098617530025
2025-03-22,394.34686188331716,319.4350546187193,479.633202754233
2025-03-23,298.4803579691494,221.11594065816675,381.29859202546544
2025-03-24,238.8633399063353,163.73225579487718,317.6204542947827
2025-03-25,224.02944537315358,146.26920160462768,296.9051243711628
2025-03-26,249.04182561061612,169.8673435214634,325.9919317076455
2025-03-27,243.80582401060474,163.63625884455746,318.97361463226946
2025-03-28,296.5995035158252,220.91020419217492,374.9220078970538
2025-03-29,391.4154904410147,318.66497583432937,471.20253768475976
2025-03-30,297.4079794017242,220.82047202372678,371.61145180032327
2025-03-31,239.60037438514718,162.4748470655974,317.57482714373924
2025-04-01,226.46495068225772,145.56493037083484,305.337558144092
2025-04-02,253.01236897198356,173.94686240648653,333.6057728677922
2025-04-03,249.10602196670686,169.9016145350647,324.8397246476176
2025-04-04,302.9938078590403,225.2766224397904,384.4893750238235
2025-04-05,398.6507602837392,323.5025026290437,476.976980254534
2025-04-06,305.2263575092279,225.64449531412683,380.3307344719108
2025-04-07,247.75198043593105,169.0810039552667,320.50281032011236
2025-04-08,234.71991527511153,160.30554608298476,309.20674596078595
2025-04-09,261.17175945494506,186.29593430928287,336.90433052445167
2025-04-10,257.0112536034088,182.29334652511506,334.6673376551773
2025-04-11,310.534189942424,227.02875568625564,389.95484206496707
2025-04-12,405.76889470353046,327.07389391875944,485.10798032767934
2025-04-13,311.9211846729028,234.45517671999087,388.31883159492367
2025-04-14,254.0793517808204,178.51648469544753,337.78169880224107
2025-04-15,240.79066006455662,160.25238815037758,317.66489529856244
2025-04-16,267.1473032363944,182.40879509060414,346.2132372908846
2025-04-17,263.09693362845724,184.45142619530426,339.5101959906797
2025-04-18,177.4093711188541,97.50487389053097,262.9868161178849
2025-04-19,418.84618775747305,346.28029693242996,499.4552766839392
2025-04-20,319.86677837247186,242.8149765712388,398.5622045548948
2025-04-21,263.19609210878065,188.19317861638476,343.57233010548384
2025-04-22,251.3425203047284,171.60828028788072,326.4119906035694
2025-04-23,279.3711921891981,201.59763686448383,354.2423406968029
2025-04-24,277.18973018918393,197.23867234125166,353.0491892680336
2025-04-25,333.07704589161847,254.6038639137586,412.3704282366673
2025-04-26,431.02347811640357,347.6244420037054,508.5343678877699
2025-04-27,340.1761986306253,262.26725441737455,417.6146221894024
2025-04-28,285.54543812596273,204.16156989731041,365.9217820201483
2025-04-29,275.5829886474971,193.08244976135447,353.59843921812734
2025-04-30,305.2708763827779,226.98683746221522,380.554141590915
2025-05-01,151.74093666397673,73.4724839101883,225.19098837265432
2025-05-02,361.27802358118777,282.16489817469386,437.91739800197473
2025-05-03,459.7200072737482,380.7852633711315,534.7929238390708
2025-05-04,368.84888903002025,289.07143408047483,444.4893564211878
2025-05-05,313.6279947141847,237.7198938387439,393.4556913793341
2025-05-06,302.4769168531382,221.46351085065237,379.6790449486059
2025-05-07,330.3619224658257,256.204519973884,411.5066328418332
2025-05-08,327.1110932190617,250.51716304291392,404.1996901526317
2025-05-09,380.9467787831439,301.4233391805193,457.06017316357094
2025-05-10,475.8287804488406,395.9237992395764,555.9694582938708
