ds,yhat,yhat_lower,yhat_upper
2025-03-01,0.0,-1.284650290278133e-09,1.1248091306337662e-09
2025-03-02,0.0,-1.269563648346173e-09,1.326159073771694e-09
2025-03-03,0.0,-1.2347367427823452e-09,1.2641612855103919e-09
2025-03-04,0.0,-1.3515872144927317e-09,1.2418964515899645e-09
2025-03-05,0.0,-1.2773370590393902e-09,1.2512747736645862e-09
2025-03-06,0.0,-1.3621232039849778e-09,1.278786564120936e-09
2025-03-07,0.0,-1.290404674507678e-09,1.3663462602378918e-09
2025-03-08,0.0,-1.3118340753141697e-09,1.3230072215696236e-09
2025-03-09,0.0,-1.2585403686371367e-09,1.3220252764385448e-09
2025-03-10,0.0,-1.2469621173250378e-09,1.2942591059437968e-09
2025-03-11,0.0,-1.2914786750198362e-09,1.2120688811492212e-09
2025-03-12,0.0,-1.4666269278168105e-09,1.2431184411133516e-09
2025-03-13,0.0,-1.4086828954639244e-09,1.4129137813216592e-09
2025-03-14,0.0,-1.2344849963856416e-09,1.344601098839965e-09
2025-03-15,0.0,-1.358812570085052e-09,1.3225328361081159e-09
2025-03-16,0.0,-1.3916043213893394e-09,1.2922504670957434e-09
2025-03-17,0.0,-1.415427115998074e-09,1.371667519998086e-09
2025-03-18,0.0,-1.4034697473606687e-09,1.413351216813017e-09
2025-03-19,0.0,-1.4416216767688622e-09,1.470617657743694e-09
2025-03-20,0.0,-1.4203883076002668e-09,1.5083326941851233e-09
2025-03-21,0.0,-1.5059940458306804e-09,1.3934788623966068e-09
2025-03-22,0.0,-1.4582102048661376e-09,1.4389598299781898e-09
2025-03-23,0.0,-1.4387361174324053e-09,1.4547465343813733e-09
2025-03-24,0.0,-1.6011286137958006e-09,1.5596290798059541e-09
2025-03-25,0.0,-1.4207802316161344e-09,1.5324308055457812e-09
2025-03-26,0.0,-1.4940631167073575e-09,1.5926596467516399e-09
2025-03-27,0.0,-1.5210693108331326e-09,1.5430707894920784e-09
2025-03-28,0.0,-1.5484656044929626e-09,1.7233096189770353e-09
2025-03-29,0.0,-1.7926058056511757e-09,1.6359650148384273e-09
2025-03-30,0.0,-1.660380739962788e-09,1.712283032963665e-09
2025-03-31,0.0,-1.7267608263508066e-09,1.6973200504465227e-09
2025-04-01,0.0,-1.754481058391722e-09,1.885559834579069e-09
2025-04-02,0.0,-1.8289674194962247e-09,1.7659549205274779e-09
2025-04-03,0.0,-1.8191117856353795e-09,1.7610832090234332e-09
2025-04-04,0.0,-1.8324745159428502e-09,1.8587052020638899e-09
2025-04-05,0.0,-1.956724360965545e-09,1.8992564927614186e-09
2025-04-06,0.0,-1.8439545995349459e-09,1.911039833742397e-09
2025-04-07,0.0,-2.101355515808004e-09,2.092333272143051e-09
2025-04-08,0.0,-2.0721455275057765e-09,2.1210259092594077e-09
2025-04-09,0.0,-2.07437903005787e-09,2.311516706928141e-09
2025-04-10,0.0,-2.2764046243618355e-09,2.04076529581047e-09
2025-04-11,0.0,-2.2056655167251868e-09,2.0984421209933517e-09
2025-04-12,0.0,-2.3737654239473212e-09,2.2870161680121972e-09
2025-04-13,0.0,-2.413787232119855e-09,2.283725236316749e-09
2025-04-14,0.0,-2.4402285383275323e-09,2.2461100329134705e-09
2025-04-15,0.0,-2.39525174584746e-09,2.4889594990030624e-09
2025-04-16,0.0,-2.5364916298233984e-09,2.559505814074108e-09
2025-04-17,0.0,-2.555047655463597e-09,2.5991966378969717e-09
2025-04-18,0.0,-2.6918931335826652e-09,2.5854306788008747e-09
2025-04-19,0.0,-2.802369447554588e-09,2.659776481774305e-09
2025-04-20,0.0,-2.8093831490980045e-09,2.759629954376272e-09
2025-04-21,0.0,-2.7257562627942622e-09,2.7386775383393577e-09
2025-04-22,0.0,-2.7843407906616836e-09,2.8571786625433265e-09
2025-04-23,0.0,-3.0271862565692937e-09,2.7871775006718976e-09
2025-04-24,0.0,-3.0992227373823193e-09,3.0289045230175086e-09
2025-04-25,0.0,-3.0896273943426634e-09,2.965551324573732e-09
2025-04-26,0.0,-3.070417480511259e-09,3.1600401409606003e-09
2025-04-27,0.0,-3.127627507138266e-09,3.3028938207982516e-09
2025-04-28,0.0,-3.312374437654171e-09,3.4252793757200394e-09
2025-04-29,0.0,-3.4137476173070327e-09,3.1393698194478426e-09
2025-04-30,0.0,-3.3504088629874167e-09,3.3707712662082835e-09
2025-05-01,0.0,-3.6263193636587476e-09,3.4817687346355987e-09
2025-05-02,0.0,-3.6044324392719825e-09,3.732560558108091e-09
2025-05-03,0.0,-3.5672345232250616e-09,3.678788194753253e-09
2025-05-04,0.0,-3.6049140997021486e-09,3.828077927110702e-09
2025-05-05,0.0,-3.776075346503757e-09,3.838445362789631e-09
2025-05-06,0.0,-3.742438195100048e-09,3.8853058242000394e-09
2025-05-07,0.0,-4.049310273041949e-09,4.1453745694671245e-09
2025-05-08,0.0,-4.191482722049763e-09,4.1645720879915466e-09
2025-05-09,0.0,-4.0614708050016504e-09,4.057215816768878e-09
2025-05-10,0.0,-4.1701254733814095e-09,4.299813818299098e-09
2025-05-11,0.0,-4.211100465222963e-09,4.3399846620986435e-09
2025-05-12,0.0,-4.604765715625714e-09,4.533444668801546e-09
2025-05-13,0.0,-4.34947798173854e-09,4.633118906304815e-09
2025-05-14,0.0,-4.770251882840769e-09,4.523743104149215e-09
2025-05-15,0.0,-4.3771313083952675e-09,4.6536196755329945e-09
2025-05-16,0.0,-4.798092690610875e-09,4.660965296434216e-09
2025-05-17,0.0,-4.686993871985822e-09,4.945947194587266e-09
2025-05-18,0.0,-4.773695624441438e-09,5.025485279722186e-09
2025-05-19,0.0,-5.108936724986459e-09,5.132872401082404e-09
2025-05-20,0.0,-5.06864192505445e-09,5.3659343066113846e-09
2025-05-21,0.0,-5.017372279457941e-09,5.263288251082875e-09
2025-05-22,0.0,-5.1840637609780854e-09,5.23398375025587e-09
2025-05-23,0.0,-5.3879578109542046e-09,5.44025603230301e-09
2025-05-24,0.0,-5.494347344269077e-09,5.476015109002211e-09
2025-05-25,0.0,-5.373416935962501e-09,5.495909647483765e-09
2025-05-26,0.0,-5.575757548914852e-09,5.850481580279701e-09
2025-05-27,0.0,-5.67222349276653e-09,5.9714746604624435e-09
2025-05-28,0.0,-5.804202602786397e-09,6.090881263285336e-09
2025-05-29,0.0,-5.844670638831434e-09,5.9017425821214245e-09
2025-05-30,0.0,-5.988829206810499e-09,6.040164929170646e-09
2025-05-31,0.0,-6.031943847404288e-09,6.364203765667981e-09
2025-06-01,0.0,-6.199781596562573e-09,6.240359509735005e-09
2025-06-02,0.0,-6.509356846655099e-09,6.3950086028836134e-09
2025-06-03,0.0,-6.594295201243676e-09,6.630011641555488e-09
2025-06-04,0.0,-6.543674241555707e-09,6.601678017585399e-09
2025-06-05,0.0,-6.754687245191809e-09,6.637257140120575e-09
2025-06-06,0.0,-6.92164314142291e-09,6.614889106414757e-09
2025-06-07,0.0,-6.906699584723511e-09,7.112830667607848e-09
2025-06-08,0.0,-6.945389455016635e-09,6.931073528297017e-09
2025-06-09,0.0,-7.036393647954521e-09,7.178667277012378e-09
2025-06-10,0.0,-7.534839908683664e-09,7.1579950050887344e-09
2025-06-11,0.0,-7.3998175697933524e-09,7.456162519658255e-09
2025-06-12,0.0,-7.142358531790436e-09,7.321855378586031e-09
2025-06-13,0.0,-7.732649497835084e-09,7.631677175520256e-09
2025-06-14,0.0,-7.559557588532364e-09,7.87192016797178e-09
2025-06-15,0.0,-7.646443493776153e-09,7.726975522302095e-09
2025-06-16,0.0,-7.690385127472485e-09,8.017497034448102e-09
2025-06-17,0.0,-7.801950356555541e-09,8.101915515820507e-09
2025-06-18,0.0,-8.257071122392322e-09,8.039094694110756e-09
2025-06-19,0.0,-8.29504325027959e-09,8.355434144803729e-09
2025-06-20,0.0,-8.44593061602332e-09,7.899945740102302e-09
2025-06-21,0.0,-8.525685649995242e-09,8.193882630694834e-09
2025-06-22,0.0,-8.6543511739056e-09,8.336865147439614e-09
2025-06-23,0.0,-8.760729251160692e-09,8.561430326151938e-09
2025-06-24,0.0,-8.914050218889716e-09,8.679927363226165e-09
2025-06-25,0.0,-8.921227932942773e-09,9.090912609247415e-09
2025-06-26,0.0,-9.149688916625089e-09,8.703614186887894e-09
2025-06-27,0.0,-9.35839161358484e-09,8.795992774756642e-09
2025-06-28,0.0,-9.481862963090153e-09,9.165634645712615e-09
2025-06-29,0.0,-9.875666392470684e-09,9.370660853389821e-09
2025-06-30,0.0,-9.750130535662564e-09,9.238916480944742e-09
2025-07-01,0.0,-9.798612473357065e-09,9.307131192339e-09
2025-07-02,0.0,-1.008725459891577e-08,9.530351387364812e-09
2025-07-03,0.0,-9.87590444102407e-09,9.845003854291625e-09
2025-07-04,0.0,-1.0217072224086913e-08,9.878622286044827e-09
2025-07-05,0.0,-1.0634999676796643e-08,1.0373507932854674e-08
2025-07-06,0.0,-1.0660577911377345e-08,1.0392835016465334e-08
2025-07-07,0.0,-1.0858094683677626e-08,1.0431908981882906e-08
2025-07-08,0.0,-1.0566340286787804e-08,1.1037174652178564e-08
2025-07-09,0.0,-1.0948565662069448e-08,1.0781569449665112e-08
2025-07-10,0.0,-1.085606369158424e-08,1.092218110870735e-08
2025-07-11,0.0,-1.097841683861402e-08,1.080788799840211e-08
2025-07-12,0.0,-1.1272640156581118e-08,1.0868771218712036e-08
2025-07-13,0.0,-1.1848165539300737e-08,1.1114020929864482e-08
2025-07-14,0.0,-1.1756819985031326e-08,1.1399079057852893e-08
2025-07-15,0.0,-1.1641471484839253e-08,1.1575715820818694e-08
2025-07-16,0.0,-1.1950475115319432e-08,1.1727975606283748e-08
2025-07-17,0.0,-1.2263972278600326e-08,1.1919072236272355e-08
2025-07-18,0.0,-1.2306805683623448e-08,1.1588134059685693e-08
2025-07-19,0.0,-1.2538572635568042e-08,1.1913709463940398e-08
2025-07-20,0.0,-1.2497657538983014e-08,1.1598586036565687e-08
2025-07-21,0.0,-1.234134791610757e-08,1.2531977358433657e-08
2025-07-22,0.0,-1.2706246371296385e-08,1.2288112770865134e-08
2025-07-23,0.0,-1.282009664647458e-08,1.2208558323136849e-08
2025-07-24,0.0,-1.2821243758342697e-08,1.267279118831942e-08
2025-07-25,0.0,-1.2819726818422616e-08,1.2619119058364605e-08
2025-07-26,0.0,-1.3287465889211869e-08,1.2780125258953625e-08
2025-07-27,0.0,-1.330320338558218e-08,1.301511275023582e-08
2025-07-28,0.0,-1.333836539918837e-08,1.329271845189788e-08
2025-07-29,0.0,-1.329289282709289e-08,1.3377251073117012e-08
2025-07-30,0.0,-1.3635438470562457e-08,1.3079204494335178e-08
2025-07-31,0.0,-1.3757263289744987e-08,1.3418321215768163e-08
2025-08-01,0.0,-1.3632384741593458e-08,1.3629129627906904e-08
2025-08-02,0.0,-1.4519833008791118e-08,1.3773465367651846e-08
2025-08-03,0.0,-1.4358340537460675e-08,1.374951640246556e-08
2025-08-04,0.0,-1.4381941912588356e-08,1.3693121545661117e-08
2025-08-05,0.0,-1.4865121726134442e-08,1.4075493986582405e-08
2025-08-06,0.0,-1.4805699323749658e-08,1.421261013095882e-08
2025-08-07,0.0,-1.4759129073085131e-08,1.4697743577416382e-08
2025-08-08,0.0,-1.5001023745133984e-08,1.4631376492977432e-08
2025-08-09,0.0,-1.4787866252080347e-08,1.4741185297263075e-08
2025-08-10,0.0,-1.5093001081712344e-08,1.4888864481176518e-08
2025-08-11,0.0,-1.537950692158824e-08,1.4568708081911804e-08
2025-08-12,0.0,-1.5876832579709733e-08,1.517913060189509e-08
2025-08-13,0.0,-1.56657749826916e-08,1.4771065728063938e-08
2025-08-14,0.0,-1.57571164675252e-08,1.510372015167563e-08
2025-08-15,0.0,-1.58243731641605e-08,1.5509348318073156e-08
2025-08-16,0.0,-1.6047286344084625e-08,1.5725194433115335e-08
2025-08-17,0.0,-1.62489528979859e-08,1.579542554950397e-08
2025-08-18,0.0,-1.666047442001882e-08,1.614752949455836e-08
2025-08-19,0.0,-1.6215000358258786e-08,1.5965140676384197e-08
2025-08-20,0.0,-1.6464733359956137e-08,1.6554793409812065e-08
2025-08-21,0.0,-1.694356726646041e-08,1.6166528962288324e-08
2025-08-22,0.0,-1.7062789206286742e-08,1.66909258699818e-08
2025-08-23,0.0,-1.733172759511155e-08,1.6699022834051886e-08
2025-08-24,0.0,-1.7364838768363133e-08,1.692103845693113e-08
2025-08-25,0.0,-1.7394121748318625e-08,1.640258479523343e-08
2025-08-26,0.0,-1.7426052916235893e-08,1.6749524762194648e-08
2025-08-27,0.0,-1.817042166419135e-08,1.7535852235591763e-08
2025-08-28,0.0,-1.773454102255868e-08,1.737042998542625e-08
2025-08-29,0.0,-1.791655238786946e-08,1.744875301903108e-08
2025-08-30,0.0,-1.8359141099229656e-08,1.7186096832662428e-08
2025-08-31,0.0,-1.8482500620439786e-08,1.7340533126899617e-08
2025-09-01,0.0,-1.8225487019326115e-08,1.7629324821885134e-08
2025-09-02,0.0,-1.8813342759186106e-08,1.7993293865239535e-08
2025-09-03,0.0,-1.9118621110251177e-08,1.7826158773832513e-08
2025-09-04,0.0,-1.911296264898183e-08,1.8027194325897977e-08
2025-09-05,0.0,-1.9029204242005042e-08,1.852164807308334e-08
2025-09-06,0.0,-1.9664958314037655e-08,1.815798526307406e-08
2025-09-07,0.0,-1.923039856133701e-08,1.8411814257562725e-08
2025-09-08,0.0,-1.946041134010353e-08,1.864049842802694e-08
2025-09-09,0.0,-1.9634319628446395e-08,1.903090597810306e-08
2025-09-10,0.0,-1.9945953482173552e-08,1.9160964693826694e-08
2025-09-11,0.0,-1.989162168548839e-08,1.9076253182897898e-08
2025-09-12,0.0,-2.0149392501789478e-08,1.962411960223931e-08
2025-09-13,0.0,-2.0086287418660626e-08,1.9734928801532536e-08
2025-09-14,0.0,-2.045529096268512e-08,1.9375975098417578e-08
2025-09-15,0.0,-2.030563121881943e-08,1.9688966159502747e-08
2025-09-16,0.0,-2.0735005639898284e-08,1.9819352247383582e-08
2025-09-17,0.0,-2.0829261685825522e-08,2.01859157884485e-08
2025-09-18,0.0,-2.0796028360820176e-08,1.9984649766870795e-08
2025-09-19,0.0,-2.1080339943103523e-08,2.0550184800882825e-08
