ds,yhat,yhat_lower,yhat_upper
2025-03-01,0.0,-1.3657189857180848e-09,1.2935376280136478e-09
2025-03-02,0.0,-1.1937708381682008e-09,1.3050606852263287e-09
2025-03-03,0.0,-1.1541580758856307e-09,1.2475406952869083e-09
2025-03-04,0.0,-1.2571291553088819e-09,1.334825672718748e-09
2025-03-05,0.0,-1.2423833060587688e-09,1.3178728902679225e-09
2025-03-06,0.0,-1.2678265831321471e-09,1.3370382363667115e-09
2025-03-07,0.0,-1.2721101206105558e-09,1.2498784722686806e-09
2025-03-08,0.0,-1.2535556356223478e-09,1.2686549774006025e-09
2025-03-09,0.0,-1.3112474579922503e-09,1.2700819560497928e-09
2025-03-10,0.0,-1.2677589106896547e-09,1.2914877241252831e-09
2025-03-11,0.0,-1.3186003242695018e-09,1.2062775206948443e-09
2025-03-12,0.0,-1.315869836551628e-09,1.3074562071221605e-09
2025-03-13,0.0,-1.347262491647769e-09,1.241886101279146e-09
2025-03-14,0.0,-1.3035843204950876e-09,1.3600751844242675e-09
2025-03-15,0.0,-1.369050534806935e-09,1.4380055355986262e-09
2025-03-16,0.0,-1.4235717977312525e-09,1.3625348161925137e-09
2025-03-17,0.0,-1.4315003466966937e-09,1.273632785735066e-09
2025-03-18,0.0,-1.4224572641082848e-09,1.5639038409722506e-09
2025-03-19,0.0,-1.2804866460896688e-09,1.4078198892256615e-09
2025-03-20,0.0,-1.4801085471504427e-09,1.498440531826642e-09
2025-03-21,0.0,-1.4516865372989022e-09,1.5898340920826734e-09
2025-03-22,0.0,-1.4904978725920509e-09,1.4445804931391129e-09
2025-03-23,0.0,-1.560417216470275e-09,1.4442454321926488e-09
2025-03-24,0.0,-1.5361998948387961e-09,1.6454471832341666e-09
2025-03-25,0.0,-1.4383477106444637e-09,1.4745362659172765e-09
2025-03-26,0.0,-1.6389865517815341e-09,1.6350082387184083e-09
2025-03-27,0.0,-1.5857338864219052e-09,1.5751898143153436e-09
2025-03-28,0.0,-1.6508909379869264e-09,1.600988281130342e-09
2025-03-29,0.0,-1.7667838071803034e-09,1.8424202121893372e-09
2025-03-30,0.0,-1.7578183035932148e-09,1.6116038003224702e-09
2025-03-31,0.0,-1.7145558308714978e-09,1.7223686251240687e-09
2025-04-01,0.0,-1.7891120287657836e-09,1.7611854087622785e-09
2025-04-02,0.0,-1.905107675185654e-09,1.8492939557894335e-09
2025-04-03,0.0,-1.8786404064926876e-09,1.8466872361200436e-09
2025-04-04,0.0,-1.9389253554090964e-09,1.892719899382979e-09
2025-04-05,0.0,-1.9416755998753634e-09,1.9951092238351315e-09
2025-04-06,0.0,-2.067392687151026e-09,2.132758727963297e-09
2025-04-07,0.0,-2.0893095021267268e-09,2.0722720660043858e-09
2025-04-08,0.0,-2.0783422674491517e-09,2.1111963124991267e-09
2025-04-09,0.0,-2.092989464136795e-09,2.214484295847727e-09
2025-04-10,0.0,-2.1637882745378214e-09,2.2880786117036807e-09
2025-04-11,0.0,-2.2014463332167822e-09,2.24577559801054e-09
2025-04-12,0.0,-2.4187543117452648e-09,2.2272335304708037e-09
2025-04-13,0.0,-2.4411629435148804e-09,2.405038160747583e-09
2025-04-14,0.0,-2.4917504945817577e-09,2.40572682831997e-09
2025-04-15,0.0,-2.4918985410612952e-09,2.49787377701406e-09
2025-04-16,0.0,-2.560606087019763e-09,2.569158592568324e-09
2025-04-17,0.0,-2.581934640816984e-09,2.641878874981234e-09
2025-04-18,0.0,-2.6578741114380803e-09,2.706063767342293e-09
2025-04-19,0.0,-2.7994744756897026e-09,2.840651658427063e-09
2025-04-20,0.0,-2.9540424482220305e-09,2.854361938724613e-09
2025-04-21,0.0,-2.897908362951353e-09,2.9100517861109717e-09
2025-04-22,0.0,-3.178818771055351e-09,2.9453593401809745e-09
2025-04-23,0.0,-2.9768980975835425e-09,3.0276568489611634e-09
2025-04-24,0.0,-3.1156072503142514e-09,3.0682296362200153e-09
2025-04-25,0.0,-3.176300641386697e-09,3.3313586167944824e-09
2025-04-26,0.0,-3.2770329954673773e-09,3.3330747610514417e-09
2025-04-27,0.0,-3.1777155575712093e-09,3.258700019409758e-09
2025-04-28,0.0,-3.36298655748148e-09,3.4722386036469417e-09
2025-04-29,0.0,-3.462882233684935e-09,3.3985762043467585e-09
2025-04-30,0.0,-3.5424604889976557e-09,3.48851152885768e-09
2025-05-01,0.0,-3.830153582754345e-09,3.5238415898837852e-09
2025-05-02,0.0,-3.567119273687998e-09,3.6385064341099946e-09
2025-05-03,0.0,-3.713461697343397e-09,3.5714662413487007e-09
2025-05-04,0.0,-3.85257366833558e-09,3.985583683500144e-09
2025-05-05,0.0,-3.7174096331492057e-09,3.98552795380207e-09
2025-05-06,0.0,-4.0204794665525206e-09,3.95738956965331e-09
2025-05-07,0.0,-4.3743553317324035e-09,4.270735576783737e-09
2025-05-08,0.0,-4.196249058451337e-09,4.174817351810378e-09
2025-05-09,0.0,-4.295179137011853e-09,4.335179017394865e-09
2025-05-10,0.0,-4.50056938825948e-09,4.089860655920756e-09
2025-05-11,0.0,-4.33933326579828e-09,4.523138198536118e-09
2025-05-12,0.0,-4.538651985609211e-09,4.5658504985472265e-09
2025-05-13,0.0,-4.629491177587387e-09,4.718122762716223e-09
2025-05-14,0.0,-4.593780511437801e-09,4.840825604336417e-09
2025-05-15,0.0,-4.711145252672815e-09,4.666816778512809e-09
2025-05-16,0.0,-4.975704754837699e-09,4.962911206327315e-09
2025-05-17,0.0,-4.961695111247758e-09,5.00451136736943e-09
2025-05-18,0.0,-5.049497196276374e-09,5.478986577930747e-09
2025-05-19,0.0,-5.167652408497793e-09,5.236349955502985e-09
2025-05-20,0.0,-5.090931816105184e-09,5.354299013430123e-09
2025-05-21,0.0,-5.438715665557002e-09,5.598844822333713e-09
2025-05-22,0.0,-5.3847838370523525e-09,5.676630325872418e-09
2025-05-23,0.0,-5.610543482494865e-09,5.536705289894346e-09
2025-05-24,0.0,-5.5103155115812266e-09,5.943057871699515e-09
2025-05-25,0.0,-5.739423576486375e-09,5.905062239947168e-09
2025-05-26,0.0,-5.640996973219512e-09,5.999750426108879e-09
2025-05-27,0.0,-5.7025456101479086e-09,6.3046805632358294e-09
2025-05-28,0.0,-5.82079368684832e-09,6.2252396432249e-09
2025-05-29,0.0,-6.0671771514926235e-09,6.237219208330509e-09
2025-05-30,0.0,-6.094576106428604e-09,6.363886123735022e-09
2025-05-31,0.0,-6.390138565248091e-09,6.758432371911981e-09
2025-06-01,0.0,-6.514010763561345e-09,6.88815127420915e-09
2025-06-02,0.0,-6.561604117295278e-09,6.647884340973535e-09
2025-06-03,0.0,-6.507553485164622e-09,6.954439288076174e-09
2025-06-04,0.0,-6.604175232301976e-09,6.954480248420097e-09
2025-06-05,0.0,-6.753414369246237e-09,7.264383478677939e-09
2025-06-06,0.0,-6.703285939087953e-09,6.998331729858215e-09
2025-06-07,0.0,-6.9574706242940425e-09,7.142511394460667e-09
2025-06-08,0.0,-7.094480243282268e-09,7.319620691710831e-09
2025-06-09,0.0,-6.8647001660001125e-09,7.34249566848022e-09
2025-06-10,0.0,-7.147418396682205e-09,7.651558525818833e-09
2025-06-11,0.0,-7.299284898977978e-09,7.710301136911814e-09
2025-06-12,0.0,-7.321100943917469e-09,7.892461728438152e-09
2025-06-13,0.0,-7.349769479791222e-09,8.126795364165947e-09
2025-06-14,0.0,-7.327641663328613e-09,8.016354086730444e-09
2025-06-15,0.0,-7.552021015689603e-09,8.384680382397402e-09
2025-06-16,0.0,-7.941617697720465e-09,8.418265567666976e-09
2025-06-17,0.0,-7.719388750289834e-09,8.652570845831175e-09
2025-06-18,0.0,-7.954041251585712e-09,8.609612820943364e-09
2025-06-19,0.0,-7.963883724861847e-09,8.565176794297446e-09
2025-06-20,0.0,-8.38823732039411e-09,8.973669074736606e-09
2025-06-21,0.0,-8.243000071019297e-09,8.840272704728412e-09
2025-06-22,0.0,-8.183281144948048e-09,9.007687120881051e-09
2025-06-23,0.0,-8.139494234259205e-09,9.57524381054275e-09
2025-06-24,0.0,-8.244803674861957e-09,9.305218159944351e-09
2025-06-25,0.0,-8.69468271431405e-09,9.412263351561162e-09
2025-06-26,0.0,-8.825899226289823e-09,9.67085309624579e-09
2025-06-27,0.0,-8.75035666124542e-09,9.497723251522238e-09
2025-06-28,0.0,-9.216793821977909e-09,9.89286316526778e-09
2025-06-29,0.0,-9.351020394819873e-09,9.553713516647824e-09
2025-06-30,0.0,-9.403133604229197e-09,1.0020210249384543e-08
2025-07-01,0.0,-9.439943784035413e-09,1.0342185928023136e-08
2025-07-02,0.0,-9.332002811159267e-09,1.033588476666036e-08
2025-07-03,0.0,-9.775650959493826e-09,1.0797220849332646e-08
2025-07-04,0.0,-9.464662499009584e-09,1.0595752775156995e-08
2025-07-05,0.0,-9.939330183142436e-09,1.0309645800278605e-08
2025-07-06,0.0,-1.000884191802544e-08,1.1001948857212343e-08
2025-07-07,0.0,-1.013912618626147e-08,1.0669995502729813e-08
2025-07-08,0.0,-9.999318643470545e-09,1.1455697947258792e-08
2025-07-09,0.0,-1.034369348826132e-08,1.1201917376725811e-08
2025-07-10,0.0,-1.0345839625007823e-08,1.1502950261261371e-08
2025-07-11,0.0,-1.033212201004224e-08,1.190623491049245e-08
2025-07-12,0.0,-1.0743461244816542e-08,1.2034259277194469e-08
2025-07-13,0.0,-1.0907065131194492e-08,1.1808233770665445e-08
2025-07-14,0.0,-1.0971194863970954e-08,1.2004974037867762e-08
2025-07-15,0.0,-1.1257071539277885e-08,1.2150824228656611e-08
2025-07-16,0.0,-1.1426250700574331e-08,1.2330302700942557e-08
2025-07-17,0.0,-1.1303862124837318e-08,1.2625600873420884e-08
2025-07-18,0.0,-1.131042059962535e-08,1.2651858863659125e-08
2025-07-19,0.0,-1.16730877130487e-08,1.2515361091060246e-08
2025-07-20,0.0,-1.1856048132538472e-08,1.269897691949914e-08
2025-07-21,0.0,-1.2077928420869593e-08,1.289407561439079e-08
2025-07-22,0.0,-1.198686001203404e-08,1.3190542646270131e-08
2025-07-23,0.0,-1.2160452863821423e-08,1.316342951699202e-08
2025-07-24,0.0,-1.258957795284201e-08,1.2941928194844955e-08
2025-07-25,0.0,-1.2600769465349948e-08,1.3135234200050769e-08
2025-07-26,0.0,-1.2613603907688946e-08,1.3587791437041898e-08
2025-07-27,0.0,-1.273063485462303e-08,1.3810936151851964e-08
2025-07-28,0.0,-1.2856858248431422e-08,1.3810847279681054e-08
2025-07-29,0.0,-1.3122841624503128e-08,1.3930364375565702e-08
2025-07-30,0.0,-1.3222881487686337e-08,1.3872956330586172e-08
2025-07-31,0.0,-1.3616838139529052e-08,1.4189693675563496e-08
2025-08-01,0.0,-1.3688107399465672e-08,1.4395550085734533e-08
2025-08-02,0.0,-1.3711646053398749e-08,1.4965251529206256e-08
2025-08-03,0.0,-1.373949284485979e-08,1.4794174233650686e-08
2025-08-04,0.0,-1.4161758895590825e-08,1.505798158854337e-08
2025-08-05,0.0,-1.4085072669115286e-08,1.5018794082823663e-08
2025-08-06,0.0,-1.4493143561213103e-08,1.5246484333066287e-08
2025-08-07,0.0,-1.4416866619603307e-08,1.5281045043280724e-08
2025-08-08,0.0,-1.4408137760849767e-08,1.5410173697215116e-08
2025-08-09,0.0,-1.4755063748262024e-08,1.5754272870469708e-08
2025-08-10,0.0,-1.4761699666504642e-08,1.588735493819253e-08
2025-08-11,0.0,-1.4861033117877893e-08,1.577721086233001e-08
2025-08-12,0.0,-1.492576426912125e-08,1.6003262510025327e-08
2025-08-13,0.0,-1.5047210298653434e-08,1.5905373947608553e-08
2025-08-14,0.0,-1.5486802094652413e-08,1.6378267283054014e-08
2025-08-15,0.0,-1.5397753369935066e-08,1.6613495415828905e-08
