ds,yhat,yhat_lower,yhat_upper
2025-04-01,311.34731676124284,185.94850388916456,456.8861747112252
2025-04-02,333.5785817501717,193.65577873056185,483.79870076643493
2025-04-03,350.05672092154333,203.16397245974636,492.1173137503701
2025-04-04,453.8904147519222,318.0061704212402,602.193871514861
2025-04-05,684.6474384586753,546.6022745120607,828.8857588934234
2025-04-06,515.9997905944499,377.43112265560245,664.8682389291245
2025-04-07,352.53466034646925,198.83784809250724,497.5490634148358
2025-04-08,347.85528274788965,209.48843355898197,490.54116233366966
2025-04-09,367.0210751010742,224.3755058028333,507.070301639516
2025-04-10,380.0635815629431,239.0362859244814,518.8646909514842
2025-04-11,480.23647125813403,337.5346641743299,617.8442223969656
2025-04-12,707.2589480926703,567.7951176379015,850.9559000653172
2025-04-13,534.9558017702673,394.0897107816792,680.6400420833698
2025-04-14,368.0632127772354,226.26589922930202,504.0546274902276
2025-04-15,360.32452519224944,228.7793633413653,502.55633096796447
2025-04-16,376.9255439440501,234.50780617481152,509.470225277091
2025-04-17,388.006040284502,248.82392553918672,525.2781821454596
2025-04-18,229.69784427587382,98.16850796933865,369.62136111158514
2025-04-19,656.8521973123153,509.87457987372284,793.4898682449876
2025-04-20,541.3617417224788,399.5569864951486,676.9115098806951
2025-04-21,375.5158953376018,224.8594864087711,515.6997037995168
2025-04-22,369.5849151746503,239.49449063492168,504.56633380844653
2025-04-23,388.69903870683095,242.57929089747537,534.9223624989288
2025-04-24,402.91417432568215,260.0580572911841,544.6608034219812
2025-04-25,505.46022500395225,369.2162056687103,647.1612974793476
2025-04-26,735.9843735661206,595.3823170429225,862.503368713394
2025-04-27,568.192582982677,415.86533600038587,709.3467369725502
2025-04-28,406.65839947291755,269.98247029892366,554.745196689956
2025-04-29,404.92319884114414,260.31419335869526,540.0093395925112
2025-04-30,427.9373125540151,294.03252629317797,569.2065082997618
2025-05-01,171.1655569185025,21.257233187041066,311.3659820140846
2025-05-02,550.9063330164336,400.71448795177025,694.7483392850595
2025-05-03,783.4106130258057,644.1616233831619,921.6879137272489
2025-05-04,616.6587858108536,478.24555370910406,768.3326355534141
2025-05-05,455.10938601658944,314.12301311901507,588.9764382324676
