ds,yhat,yhat_lower,yhat_upper
2025-04-01,0.0,-1.3688975586016323e-09,1.1833851369171004e-09
2025-04-02,0.0,-1.3564923574956436e-09,1.2576730301277898e-09
2025-04-03,0.0,-1.2624949809674573e-09,1.2725975875958322e-09
2025-04-04,0.0,-1.2784475165188937e-09,1.2077537618963871e-09
2025-04-05,0.0,-1.2468589132546578e-09,1.3052392096744144e-09
2025-04-06,0.0,-1.17132906078026e-09,1.2645033290296376e-09
2025-04-07,0.0,-1.2636076760920534e-09,1.2554348195490861e-09
2025-04-08,0.0,-1.2407072308577077e-09,1.2856735848941975e-09
2025-04-09,0.0,-1.2941981020917393e-09,1.2263536328548076e-09
2025-04-10,0.0,-1.415494196799363e-09,1.2876997672710602e-09
2025-04-11,0.0,-1.3704148356651719e-09,1.2670147044103047e-09
2025-04-12,0.0,-1.3586635673299637e-09,1.2380300045071265e-09
2025-04-13,0.0,-1.2729133486539254e-09,1.3396108245797029e-09
2025-04-14,0.0,-1.290091322513816e-09,1.3836204711104987e-09
2025-04-15,0.0,-1.4110542307719825e-09,1.3961463958597235e-09
2025-04-16,0.0,-1.3989971533168304e-09,1.3296119088630065e-09
2025-04-17,0.0,-1.2533646602299616e-09,1.3628598829556316e-09
2025-04-18,0.0,-1.3670103402713151e-09,1.400053905597878e-09
2025-04-19,0.0,-1.4900955236696864e-09,1.4437540743390682e-09
2025-04-20,0.0,-1.4850282214829677e-09,1.3830237355620447e-09
2025-04-21,0.0,-1.432347234679831e-09,1.3594053470066295e-09
2025-04-22,0.0,-1.6073776553645576e-09,1.4046419766002155e-09
2025-04-23,0.0,-1.4609590186512362e-09,1.432974714802642e-09
2025-04-24,0.0,-1.5013490209637578e-09,1.493972995644284e-09
2025-04-25,0.0,-1.546957135607052e-09,1.451653323893173e-09
2025-04-26,0.0,-1.5904697709124373e-09,1.484297155904258e-09
2025-04-27,0.0,-1.5615909519308654e-09,1.4973438723411023e-09
2025-04-28,0.0,-1.4663850145384057e-09,1.4519291243214171e-09
2025-04-29,0.0,-1.5788251552361297e-09,1.5481914394577918e-09
2025-04-30,0.0,-1.7683251441312226e-09,1.5785486274265303e-09
2025-05-01,0.0,-1.653670481416995e-09,1.5174068409494288e-09
2025-05-02,0.0,-1.6404128536033778e-09,1.5721770094425055e-09
2025-05-03,0.0,-1.7796326343665317e-09,1.774694267635616e-09
2025-05-04,0.0,-1.71477969864047e-09,1.7277506203774787e-09
2025-05-05,0.0,-1.7575654456444157e-09,1.7025552500341747e-09
2025-05-06,0.0,-1.7846148053722926e-09,1.7595373387120077e-09
2025-05-07,0.0,-1.7278497775492283e-09,1.762014527362685e-09
2025-05-08,0.0,-1.8580946417652021e-09,1.8654975098850236e-09
2025-05-09,0.0,-2.092319619537903e-09,2.0780365768063488e-09
2025-05-10,0.0,-1.9596167854909635e-09,1.8862312436930597e-09
2025-05-11,0.0,-2.076345689607857e-09,1.965426201737203e-09
2025-05-12,0.0,-2.071481940461693e-09,2.016635154116472e-09
2025-05-13,0.0,-2.1097865152246386e-09,2.060044978171032e-09
2025-05-14,0.0,-2.0956055982471437e-09,2.12118868935117e-09
2025-05-15,0.0,-2.3072372460475585e-09,2.0790110863777632e-09
2025-05-16,0.0,-2.3789861729620266e-09,2.1470186396399312e-09
2025-05-17,0.0,-2.298065252400211e-09,2.296584452125079e-09
2025-05-18,0.0,-2.4925176874705283e-09,2.296944685210854e-09
2025-05-19,0.0,-2.305825224797151e-09,2.38189894114465e-09
2025-05-20,0.0,-2.4250618986396474e-09,2.3825616095459453e-09
2025-05-21,0.0,-2.420850728355852e-09,2.316640601488001e-09
